CODIGO_CVM;DENOMINACAO_SOCIAL;DENOMINACAO_COMERCIAL;SETOR_ATIVIDADE;CNPJ;DATA_REGISTRO;DATA_CONSTITUICAO;DATA_CANCELAMENTO;MOTIVO_CANCELAMENTO;SITUACAO_REGISTRO
21954;3A COMPANHIA SECURITIZADORA;TRIPLO A  COMPANHIA SECURITIZADORA;SECURITIZAÇÃO DE RECEBÍVEIS;11396633000187;2010-03-08;2009-11-03;2015-12-18;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
16330;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;521 PARTICIPAÇÕES S/A;EMP. ADM. PARTICIPAÇÕES - ENERGIA ELÉTRICA;1547749000116;1997-07-11;1996-07-30;;;ATIVO
16284;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;1851771000155;1997-05-30;1997-04-02;;;ATIVO
16349;525 PARTICIPAÇOES SA;525 PARTICIPACOES SA;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;1919008000119;1997-07-16;1997-04-02;2006-05-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
35;A J RENNER SA IND E PARTIP;A J RENNER;EMP. ADM. PARTICIPAÇÕES;92659614000106;1969-06-24;;1998-06-17;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
16802;A.P. PARTICIPAÇOES SA;A.P. PARTICIPAÇÕES S.A.;EMP. ADM. PARTICIPAÇÕES;2288752000125;1998-01-21;1997-12-14;2004-12-23;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
13307;ABC DADOS E INFORMATICA SA;ABC COMPUTADORES;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;21649280000133;1988-06-03;;1993-03-05;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
16934;ABC SUPERMERCADOS SA;ABC SUPERMERCADOS;COMÉRCIO (ATACADO E VAREJO);2258274000100;1998-02-27;1997-09-30;2001-12-17;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
13005;ABC XTAL MICROELETRONICA SA;XTAL;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;42275727000121;1986-09-15;;1997-09-11;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
15270;ABN AMRO ARRENDAMENTO MERCANTIL SA;AYMORÉ LEASING;ARRENDAMENTO MERCANTIL;34033779000163;1995-12-20;1970-01-06;2009-09-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
14370;ABRIL SA;ABRIL SA;GRÁFICAS E EDITORAS;44597052000162;1994-05-06;;1999-12-21;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
20206;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;ABYARA;EMP. ADM. PARTICIPAÇÕES - CONSTRUÇÃO CIVIL, MAT. CONSTR. E DECORAÇÃO;7794351000160;2006-07-24;2006-01-04;2010-05-28;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
22446;ACCIONA CONCESSÕES-RODOVIA DO AÇO SA;ACCIONA CONCESSÕES-RODOVIA DO AÇO SA;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;9414761000164;2011-03-29;2008-03-04;;;ATIVO
60;ACOPALMA CIA INDL ACOS V PALMA;ACOPALMA CIA INDL ACOS V PALMA;METALURGIA E SIDERURGIA;18451005000104;1978-05-09;1973-03-15;2007-08-07;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
78;ACOS ANHANGUERA SA;ANHANGUERA;METALURGIA E SIDERURGIA;61150660000143;1971-10-20;;1994-02-09;ELISÃO POR INCORPORAÇÃO;CANCELADA
