Data;Titulo;Taxa_CPA;Taxa_VDA;PU_CPA;PU_VDA
2011-01-03;LTN 010114;0,1226;0,1232;707,49;706,36
2011-01-04;LTN 010114;0,1214;0,1220;710,08;708,95
2011-01-05;LTN 010114;0,1219;0,1225;709,46;708,33
2011-01-06;LTN 010114;0,1226;0,1232;708,46;707,34
2011-01-07;LTN 010114;0,1230;0,1236;708,04;706,91
2011-01-10;LTN 010114;0,1245;0,1251;705,56;704,44
2011-01-11;LTN 010114;0,1257;0,1263;703,66;702,55
2011-01-12;LTN 010114;0,1250;0,1256;705,29;704,17
2011-01-13;LTN 010114;0,1255;0,1261;704,69;703,58
2011-01-14;LTN 010114;0,1255;0,1261;705,02;703,91
2011-01-17;LTN 010114;0,1268;0,1274;702,95;701,85
2011-01-18;LTN 010114;0,1279;0,1285;701,26;700,17
2011-01-19;LTN 010114;0,1277;0,1283;701,97;700,87
2011-01-20;LTN 010114;0,1274;0,1280;702,85;701,75
2011-01-21;LTN 010114;0,1276;0,1282;702,82;701,72
2011-01-24;LTN 010114;0,1277;0,1283;702,97;701,87
2011-01-25;LTN 010114;0,1284;0,1290;702,03;700,94
2011-01-26;LTN 010114;0,1284;0,1290;702,37;701,27
2011-01-27;LTN 010114;0,1294;0,1300;700,89;699,80
2011-01-28;LTN 010114;0,1297;0,1303;700,68;699,60
2011-01-31;LTN 010114;0,1296;0,1302;701,20;700,12
2011-02-01;LTN 010114;0,1303;0,1309;700,28;699,20
2011-02-02;LTN 010114;0,1297;0,1303;701,70;700,62
2011-02-03;LTN 010114;0,1285;0,1291;704,21;703,12
2011-02-04;LTN 010114;0,1293;0,1299;703,10;702,02
2011-02-07;LTN 010114;0,1304;0,1310;701,46;700,39
2011-02-08;LTN 010114;0,1300;0,1306;702,52;701,44
2011-02-09;LTN 010114;0,1279;0,1285;706,64;705,56
2011-02-10;LTN 010114;0,1278;0,1284;707,16;706,08
2011-02-11;LTN 010114;0,1289;0,1295;705,52;704,44
2011-02-14;LTN 010114;0,1292;0,1298;705,32;704,24
2011-02-15;LTN 010114;0,1302;0,1308;703,87;702,80
2011-02-16;LTN 010114;0,1295;0,1301;705,46;704,39
2011-02-17;LTN 010114;0,1282;0,1288;708,13;707,06
2011-02-18;LTN 010114;0,1277;0,1283;709,37;708,29
2011-02-21;LTN 010114;0,1276;0,1282;709,89;708,81
